Designator,Mid X,Mid Y,Rotation,Layer
C1,106.9,-99.5,90.0,top
C10,124.6,-68.775,270.0,top
C11,103.1,-77.9,90.0,top
C12,108.0,-78.0,90.0,top
C13,117.1,-66.8,270.0,top
C14,119.7,-67.1,270.0,top
C15,103.9,-67.8,90.0,top
C16,101.3,-67.8,90.0,top
C17,113.6,-78.6,0.0,top
C18,97.4,-74.0,90.0,top
C2,119.075,-96.4,0.0,top
C3,112.6875,-85.2,0.0,top
C4,110.9625,-87.6,0.0,top
C5,109.4,-102.5,90.0,top
C6,105.6,-71.725,90.0,top
C7,119.0,-100.7,0.0,top
C8,103.0,-71.725,90.0,top
C9,122.1,-68.775,270.0,top
J_baofeng_2.5mm1,132.8,-67.5,180.0,top
J_baofeng_3.5mm1,132.7,-82.5,180.0,top
Q1,115.9125,-109.015,90.0,top
Q2,121.0625,-109.3375,90.0,top
R1,102.7375,-99.9,0.0,top
R10,115.2,-99.9625,90.0,top
R11,128.46,-98.0,270.0,top
R12,109.26,-107.8,0.0,top
R13,129.1,-92.6,90.0,top
R14,122.1,-84.2,0.0,top
R2,112.1,-101.14,90.0,top
R3,125.36,-99.2,270.0,top
R4,106.6625,-88.3,270.0,top
R5,106.6625,-83.1,270.0,top
R6,110.1375,-110.6,0.0,top
R7,103.9,-84.4,270.0,top
R8,103.9625,-89.2625,270.0,top
R9,102.0,-97.1,0.0,top
RV1,119.0625,-91.6,90.0,top
RV2,136.5,-96.6,180.0,top
U1,83.81,-87.97,0.0,top
U2,111.35,-68.7,180.0,top
